county_name,cases,population,case rate,14 day case rate,land area,Pop. Density
Appling,1230,18561,6626.8,177.79,512.5579834,36.21248834
Atkinson,521,8330,6254.5,276.11,344.5920105,24.17351461
Bacon,663,11404,5813.75,105.23,285.9509888,22.24919008
Baker,105,3116,3369.7,64.18,349.0740051,8.926473912
Baldwin,2496,44428,5618.08,202.57,267.4049988,166.1449868
Banks,739,19982,3698.33,580.52,233.8609924,85.44392032
Barrow,3131,86383,3624.56,371.6,162.9149933,530.2335792
Bartow,4398,110771,3970.35,389.09,470.0629883,235.6513973
Ben Hill,935,16645,5617.3,186.24,253.9060059,65.55575533
Berrien,574,19276,2977.8,321.64,457.8800049,42.09836593
Bibb,7258,152150,4770.29,226.75,255.326004,595.9048339
Bleckley,545,12838,4245.21,163.58,219.1210022,58.58863309
Brantley,536,19202,2791.38,208.31,447.5910034,42.90077292
Brooks,585,15727,3719.72,171.68,497.7380066,31.59694416
Bryan,1432,39137,3658.94,250.4,455.1080017,85.9949723
Bulloch,3288,79467,4137.57,122.06,689.3709717,115.2746537
Burke,992,22342,4440.07,255.12,835.6610107,26.73572144
Butts,868,25174,3448,289.98,188.0050049,133.9006906
Calhoun,270,6317,4274.18,110.81,283.5339966,22.27951525
Camden,1729,53924,3206.36,363.47,782.8369751,68.88279644
Candler,580,10837,5352.03,119.96,249.0449982,43.51422465
Carroll,4039,120119,3362.5,304.7,503.8240051,238.4146027
Catoosa,1997,68771,2903.84,447.86,162.4589996,423.31296
Charlton,688,13251,5192.06,181.12,782.9489746,16.92447456
Chatham,10527,292176,3602.97,219.05,633.4530029,461.2433735
Chattahoochee,1951,10749,18150.53,567.49,251.1360016,42.80150967
Chattooga,1116,24766,4506.18,270.53,313.5859985,78.97674041
Cherokee,8973,266617,3365.5,396.45,434.3259888,613.8637956
Clarke,6594,129779,5080.95,304.36,121.0270004,1072.314439
Clay,125,2855,4378.28,35.03,217.2250061,13.14305407
Clayton,9678,304838,3174.8,233.89,144.3029938,2112.485625
Clinch,489,6656,7346.75,165.26,824.2249756,8.07546507
Cobb,25950,790588,3282.37,300.66,344.4599915,2295.151888
Coffee,2586,43042,6008.09,422.84,602.7620239,71.40794923
Colquitt,2203,45393,4853.17,112.35,556.5479736,81.56170205
Columbia,5280,158631,3328.48,303.22,307.7789917,515.4055484
Cook,755,17437,4329.87,493.2,233.1840057,74.777856
Coweta,3550,152001,2335.51,273.68,445.7609863,340.9921565
Crawford,221,12228,1807.33,139.03,326.3900147,37.46438141
Crisp,716,22289,3212.35,125.62,280.9039917,79.34739505
Dade,491,16162,3037.99,377.43,174.1889954,92.784277
Dawson,1102,27021,4078.31,518.12,214.3650055,126.0513578
DeKalb,25559,793154,3222.45,304.73,623.0670166,1272.983449
Decatur,1380,26322,5242.76,136.77,271.0870056,97.09797761
Dodge,711,20385,3487.86,181.51,503.1220093,40.51701103
Dooly,423,13400,3156.72,208.96,397.2160034,33.73479388
Dougherty,3417,89905,3800.68,86.76,334.5660095,268.7212611
Douglas,4888,151906,3217.78,307.43,201.0010071,755.7474571
Early,612,10146,6031.93,433.67,516.3049927,19.65117546
Echols,258,3969,6500.38,226.76,420.7900085,9.432258181
Effingham,2070,64026,3233.06,193.67,483.6749878,132.3740148
Elbert,915,18945,4829.77,438.11,374.2789917,50.61732136
Emanuel,1276,22664,5630.07,83.83,690.5650024,32.81950276
Evans,520,10687,4865.72,205.86,187.0449982,57.13598387
Fannin,974,26320,3700.61,395.14,391.8859863,67.16239141
Fayette,2605,117544,2216.19,245.87,199.2859955,589.825691
Floyd,4975,99916,4979.18,465.39,518.4799805,192.7094657
Forsyth,6023,252507,2385.28,317.22,247.1159973,1021.815677
Franklin,1156,23329,4955.21,527.24,266.4460144,87.55619803
Fulton,36793,1099181,3347.31,317.42,534.2290039,2057.509031
Gilmer,1196,31417,3806.86,305.57,431.1669922,72.86503969
Glascock,63,3025,2082.64,297.52,144.4989929,20.93440196
Glynn,4118,86047,4785.76,245.21,586.0679932,146.8208484
Gordon,3034,58049,5226.62,556.43,358.0079956,162.1444233
Grady,909,24540,3704.16,105.95,460.17099,53.32800314
Greene,638,18717,3408.67,187,406.2149963,46.07658548
Gwinnett,35955,971145,3702.33,317.67,436.6889954,2223.882466
Habersham,2257,45800,4927.95,626.64,278.9920044,164.1624107
Hall,12205,206349,5914.74,408.53,429.2189941,480.7545864
Hancock,475,8193,5797.63,598.07,478.7229919,17.11428141
Haralson,867,30722,2822.08,338.52,283.1830139,108.4881454
Harris,947,34712,2728.16,172.85,472.9179993,73.39961696
Hart,711,26107,2723.41,248.98,256.9729919,101.5943341
Heard,283,12370,2287.79,185.93,301.0929871,41.08365366
Henry,7483,239866,3119.66,280.16,326.4809876,734.7012816
Houston,4247,157039,2704.42,215.87,379.8649902,413.4074054
Irwin,409,9433,4335.84,371.04,362.7539978,26.0038485
Jackson,3074,74700,4115.13,480.59,343.0559998,217.7487059
Jasper,274,14199,1929.71,133.81,373.4070129,38.02553115
Jeff Davis,833,15148,5499.08,85.82,335.5039978,45.1499836
Jefferson,943,15313,6158.17,352.64,529.90802,28.8974679
Jenkins,486,8576,5666.98,104.94,352.7720032,24.31031919
Johnson,464,9661,4802.82,186.32,306.6820068,31.50168509
Jones,734,28591,2567.24,181.88,395.3680115,72.31490452
Lamar,539,19347,2785.96,356.64,185.7969971,104.1297777
Lanier,337,10351,3255.72,86.95,199.8029938,51.80603055
Laurens,2203,47296,4657.9,171.26,818.5819702,57.77796448
Lee,810,29971,2702.61,156.82,361.6600037,82.87065115
Liberty,1463,61904,2363.34,134.08,603.3889771,102.593853
Lincoln,278,8125,3421.54,270.77,257.4060059,31.56492006
Long,309,19915,1551.59,90.38,404.256012,49.26333662
Lowndes,5140,117878,4360.44,335.09,510.5660095,230.8771007
Lumpkin,1255,33802,3712.8,396.43,284.1409912,118.9620683
Macon,291,12988,2240.53,200.18,405.9110107,31.9971611
Madison,989,30177,3277.33,357.89,285.5849915,105.6673176
Marion,219,8293,2640.78,108.53,367.4159851,22.57114643
McDuffie,784,21597,3630.13,189.84,266.4949951,81.04092158
McIntosh,357,14567,2450.74,192.22,574.7750244,25.34382912
Meriwether,633,21020,3011.42,76.12,505.3340149,41.59624997
Miller,346,5764,6002.78,242.89,283.6260071,20.32253692
Mitchell,889,22056,4030.65,113.35,513.7210083,42.93380968
Monroe,891,27727,3213.47,263.28,397.7359924,69.71207165
Montgomery,390,9224,4228.1,162.62,244.7859955,37.68189427
Morgan,581,19138,3035.84,125.4,354.5830078,53.97325754
Murray,1705,40261,4234.87,1058.1,346.6570129,116.1407342
Muscogee,6865,191626,3582.5,144.03,220.9859924,867.1409347
Newton,3342,112354,2974.53,231.41,279.1470032,402.4904395
Oconee,1004,41737,2405.54,189.28,186.3549957,223.9650182
Oglethorpe,491,15240,3221.78,275.59,442.0589905,34.47503688
Paulding,3958,172542,2293.93,268.34,314.3110046,548.9530989
Peach,928,27375,3389.95,299.54,151.2740021,180.9630182
Pickens,1003,33530,2991.35,363.85,232.6699982,144.1096844
Pierce,737,19545,3770.79,97.21,343.4530029,56.90734929
Pike,459,18860,2433.72,238.6,219.3630066,85.97621036
Polk,1981,43482,4555.91,303.57,312.1470032,139.2997516
Pulaski,373,10893,3424.22,201.96,251.1820068,43.36695983
Putnam,895,21885,4089.56,137.08,360.6619873,60.68008487
Quitman,44,2294,1918.05,43.59,160.5579987,14.28767186
Rabun,567,16986,3338.04,582.83,376.8540039,45.07315784
Randolph,346,6754,5122.89,14.81,430.8190002,15.6771173
Richmond,9325,202240,4610.86,344.64,328.8320007,615.0253004
Rockdale,2523,94960,2656.91,224.3,132.0709992,719.007205
Schley,122,5275,2312.8,94.79,167.7899933,31.43810841
Screven,468,13900,3366.91,50.36,656.6640015,21.1675986
Seminole,472,8140,5798.53,528.26,256.5320129,31.73093256
Spalding,1888,69110,2731.88,215.6,199.5509949,346.3275141
Stephens,1471,26328,5587.21,467.18,184.1900024,142.9393542
Stewart,573,6129,9349,81.58,463.5650024,13.22144676
Sumter,1017,29399,3459.3,136.06,492.5549927,59.68673638
Talbot,200,6158,3247.81,97.43,394.6940002,15.60195999
Taliaferro,36,1632,2205.88,245.1,195.3769989,8.353081525
Tattnall,1011,25411,3978.59,125.93,488.7279968,51.9941566
Taylor,271,7958,3405.38,263.89,379.6229858,20.96290345
Telfair,517,15644,3304.78,51.14,444.0669861,35.22891926
Terrell,350,8467,4133.7,70.86,337.6400147,25.077004
Thomas,1726,44431,3884.68,184.56,552.1140137,80.47432034
Tift,2235,40830,5473.92,445.75,268.7590027,151.9204923
Toombs,1634,26983,6055.66,285.36,371.1919861,72.69284093
Towns,541,12034,4495.6,382.25,171.9539948,69.983835
Treutlen,329,6829,4817.69,131.79,202.5220032,33.71979287
Troup,3278,70414,4655.32,194.56,445.9429932,157.8991061
Turner,371,8076,4593.86,235.26,289.9410095,27.85394179
Twiggs,247,8086,3054.66,173.14,362.6040039,22.29980892
Union,1051,25335,4148.41,331.56,328.9400024,77.02012469
Upson,923,26277,3512.58,194.09,327.4890137,80.23780616
Walker,2521,69610,3621.61,494.18,447.0539856,155.708264
Walton,2784,95814,2905.63,283.88,329.9460144,290.3929607
Ware,1902,35853,5305,245.45,908.4249878,39.46721026
Warren,186,5210,3570.06,230.33,286.7659912,18.1681237
Washington,969,20302,4772.93,290.61,684.4959717,29.6597801
Wayne,1438,29974,4797.49,397.01,649.3969727,46.15666728
Webster,46,2550,1803.92,39.22,210.227005,12.12974518
Wheeler,372,7909,4703.5,50.58,300.3450012,26.33305022
White,1275,31758,4014.74,607.72,242.1670075,131.1409028
Whitfield,7452,104672,7119.38,1034.66,291.0339966,359.6555771
Wilcox,286,8790,3253.7,273.04,382.0920105,23.00493012
Wilkes,361,10014,3604.95,239.66,474.2019959,21.11758298
Wilkinson,411,8919,4608.14,257.88,451.9559937,19.73422219
Worth,630,20142,3127.79,114.19,574.6519775,35.05077993